,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_vf_coef,state
26,26,0.001435,2025-02-04 01:53:51.489218,2025-02-04 04:23:24.170101,0 days 02:29:32.680883,leaky_relu,128,0.4,1.218546147557988e-08,0.92,0.9999,0.13504930024584444,1,256,medium,False,0.8234748092918938,COMPLETE
27,27,0.001885,2025-02-04 02:07:04.098769,2025-02-04 05:01:50.029093,0 days 02:54:45.930324,elu,128,0.1,1.5982882081313428e-05,0.99,0.9,0.002457187981734625,10,256,medium,True,0.6758356917354369,COMPLETE
28,28,0.001958,2025-02-04 02:08:06.417121,2025-02-04 04:35:39.449084,0 days 02:27:33.031963,elu,128,0.4,4.594504565293212e-06,0.95,0.95,0.04768546309325319,1,512,medium,False,0.8321452710807757,COMPLETE
29,29,0.001879,2025-02-04 02:08:40.360606,2025-02-04 04:35:58.490060,0 days 02:27:18.129454,leaky_relu,128,0.3,9.576096782323512e-07,0.99,0.95,0.014071287945495328,1,512,medium,False,0.3825203671709455,COMPLETE
30,30,0.001792,2025-02-04 02:10:24.340737,2025-02-04 05:05:35.820475,0 days 02:55:11.479738,elu,128,0.1,6.509225933083935e-08,0.99,0.9,3.131721920187853e-05,10,256,medium,True,0.26670330855140867,COMPLETE
31,31,0.001914,2025-02-04 02:11:06.336877,2025-02-04 04:37:30.214703,0 days 02:26:23.877826,leaky_relu,128,0.3,1.1107428299932937e-07,0.95,0.8,0.1357815176296788,1,512,medium,False,0.3171989884519648,COMPLETE
32,32,0.001985,2025-02-04 02:11:47.640649,2025-02-04 04:37:58.139494,0 days 02:26:10.498845,leaky_relu,128,0.3,1.0375104507800005e-06,0.92,0.95,0.4501202457525652,1,1024,medium,False,0.7197611043944945,COMPLETE
33,33,0.001517,2025-02-04 02:11:55.960676,2025-02-04 04:38:48.944981,0 days 02:26:52.984305,tanh,128,0.3,2.0996596355019106e-07,0.95,0.9999,0.15034560054257845,1,512,medium,False,0.9523507508900533,COMPLETE
34,34,0.002497,2025-02-04 02:29:38.505586,2025-02-04 05:02:51.890103,0 days 02:33:13.384517,leaky_relu,128,0.1,3.7003513392650696e-06,0.95,0.95,0.1337428511954351,5,512,medium,False,0.7424382306616372,COMPLETE
35,35,0.001896,2025-02-04 02:32:55.893311,2025-02-04 04:52:42.933933,0 days 02:19:47.040622,leaky_relu,128,0.4,9.365142406303918e-08,0.95,0.95,0.345134277680812,1,512,medium,False,0.622950087503848,COMPLETE
36,36,0.001746,2025-02-04 02:51:51.058724,2025-02-04 05:06:29.507181,0 days 02:14:38.448457,leaky_relu,128,0.3,1.3588081154676676e-06,0.95,0.95,0.17827356024759777,1,512,medium,False,0.7367740012951852,COMPLETE
37,37,0.002437,2025-02-04 04:23:24.183650,2025-02-04 06:45:19.504462,0 days 02:21:55.320812,leaky_relu,128,0.3,2.125329743982816e-06,0.95,0.8,0.17845813831375548,1,512,medium,True,0.7574472030575753,COMPLETE
38,38,0.001893,2025-02-04 04:31:30.102577,2025-02-04 06:53:12.670578,0 days 02:21:42.568001,leaky_relu,256,0.3,1.7147662448059648e-08,0.99,0.95,0.12750444474341938,1,512,medium,False,0.6593221474013168,COMPLETE
39,39,0.001761,2025-02-04 04:35:39.451173,2025-02-04 07:03:57.691901,0 days 02:28:18.240728,leaky_relu,128,0.3,2.8365865497658375e-07,0.95,0.95,0.6067123833009763,1,512,medium,True,0.9364708563219004,COMPLETE
40,40,0.002075,2025-02-04 04:35:58.498220,2025-02-04 07:02:28.279808,0 days 02:26:29.781588,elu,128,0.1,2.1270382538012393e-06,0.98,0.95,0.5915160170285441,1,512,small,False,0.24398301434284947,COMPLETE
41,41,0.001947,2025-02-04 04:37:30.216209,2025-02-04 07:43:58.044440,0 days 03:06:27.828231,elu,128,0.4,7.660397477530368e-08,0.92,0.9,0.006706921489902759,10,512,small,False,0.3716953895323281,COMPLETE
