date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-06-02,67,18,0,23,-96,0,100,100,-20,-46,92,100,-48,-14,-100,-18,21,41,100,84,-75,-86,-84,23,0,100,100,-58,63
2022-06-03,46,-18,0,60,100,0,27,47,0,0,-100,-11,38,-2,96,0,82,-41,-100,65,0,0,100,-64,85,-49,-100,1,-75
2022-06-06,33,100,-93,100,0,11,-99,59,0,0,-100,67,100,100,-19,44,-28,41,29,12,0,0,6,0,-85,-46,100,100,6
2022-06-07,100,100,100,-31,-100,11,100,-63,21,0,100,-100,-37,-100,-100,-44,-22,65,100,-100,84,0,-11,42,82,25,59,-90,-33
2022-06-08,-21,-70,49,77,0,21,-100,32,81,0,17,-36,-16,-1,-23,41,7,-5,36,26,100,0,52,39,0,50,87,-11,100
2022-06-09,-14,-71,100,100,0,-43,83,99,5,88,6,7,-100,42,-60,-41,100,-76,-100,73,29,42,-100,34,49,-100,-32,90,100
2022-06-10,48,94,-14,55,6,0,-100,61,-27,-4,-100,52,-70,-94,-59,70,-21,100,-100,75,63,50,-37,100,100,-51,65,-46,-10
2022-06-13,49,-100,-98,100,-6,90,-3,44,50,-84,100,1,66,100,-27,-70,89,-69,92,-47,-36,37,100,-85,-100,100,20,-44,100
2022-06-14,-100,-25,100,-100,0,-81,100,-98,100,0,100,81,26,-10,100,90,100,-56,100,41,-3,-57,23,5,-65,72,-100,59,87
2022-06-15,71,-28,-59,-100,100,-9,10,-100,56,100,-6,77,18,-58,82,-90,-100,1,-17,7,-65,100,21,58,-50,-100,-100,-59,34
2022-06-16,-100,81,100,91,-16,33,0,81,0,-62,100,-89,90,-14,0,0,-70,-1,95,-2,70,-100,100,0,-16,100,2,0,100
2022-06-17,71,-68,79,15,75,-33,-18,6,32,-38,-63,-66,-100,100,-100,100,-100,14,100,43,0,-26,-74,-27,0,-100,-100,0,5
2022-06-21,-68,99,-100,81,-32,0,79,-18,100,0,0,-18,0,-79,0,-53,100,100,100,1,-7,100,-100,-15,53,-2,-36,0,100
2022-06-22,0,0,0,-100,100,0,-47,0,-100,100,0,-6,70,-100,0,-47,-26,0,0,-38,0,0,0,-53,-53,100,0,0,-1
2022-06-23,-100,-100,-100,-100,100,0,75,100,-3,-100,100,100,-74,98,98,0,100,84,100,100,-100,-100,61,-34,0,-100,100,25,-100
2022-06-24,-100,81,-34,-53,-71,0,-2,0,-100,0,-82,-29,-11,0,0,0,-10,0,100,-20,100,1,0,-64,100,0,0,-16,-53
2022-06-27,0,100,71,0,-19,0,-25,-13,1,0,-18,0,-12,-22,100,0,0,0,0,-76,-76,-47,0,0,0,-47,100,-9,0
2022-06-28,-45,0,-75,100,-18,96,100,57,-94,100,-100,0,-68,1,89,0,-90,-100,89,0,-80,0,-100,0,85,-55,0,100,-100
2022-06-29,0,-17,77,32,-100,-2,-66,-55,0,0,-100,94,0,0,0,0,1,-5,0,100,-37,0,-34,0,88,-47,-25,0,0
2022-06-30,90,100,-66,0,0,0,100,100,0,-3,-31,-100,-100,-80,0,0,100,100,0,-100,-42,0,-65,0,0,-12,-100,-28,100
2022-07-01,3,-81,-100,-100,62,8,-68,53,-100,-39,3,81,-13,-61,11,50,-90,100,-100,-14,33,10,-44,0,-43,19,43,100,100
