account_value,date,daily_return
861214.2383623138,2022-07-06,
869464.9496289002,2022-07-07,0.009580323802212076
868223.8729953094,2022-07-08,-0.0014274027194776107
863535.6105714622,2022-07-11,-0.005399831275858635
863196.8033190208,2022-07-12,-0.00039234890639561204
855646.3881813599,2022-07-13,-0.008747037881314368
852178.370828962,2022-07-14,-0.004053096466367423
868974.8607341781,2022-07-15,0.019710063620691498
863194.2753266426,2022-07-18,-0.006652189457646229
882384.0951421219,2022-07-19,0.022231171317972143
884641.5021021477,2022-07-20,0.0025583042265309164
888931.5383634584,2022-07-21,0.004849463032331691
886255.727385347,2022-07-22,-0.0030101429217345155
887667.6332403352,2022-07-25,0.0015931133772795203
885119.0777632234,2022-07-26,-0.0028710695103396633
895795.3289873063,2022-07-27,0.012061937757643637
907878.4915141352,2022-07-28,0.013488753664845365
918145.8506649378,2022-07-29,0.011309177656229075
917252.4909664857,2022-08-01,-0.0009730041232610676
915829.8605109496,2022-08-02,-0.0015509693018517234
919003.7646311048,2022-08-03,0.003465604537489453
918766.9535894138,2022-08-04,-0.00025768234125356226
920184.6534254008,2022-08-05,0.001543046177758578
921599.0494471447,2022-08-08,0.0015370784727595233
920188.2140348712,2022-08-09,-0.001530855975947376
934184.3332468462,2022-08-10,0.015210061374948847
937054.6519856958,2022-08-11,0.0030725400081090815
949737.4620154352,2022-08-12,0.013534760222217113
953406.182092576,2022-08-15,0.003862878136190906
957011.8294691516,2022-08-16,0.0037818586079036987
951837.6888647281,2022-08-17,-0.005406558670537631
952689.7181381464,2022-08-18,0.0008951413496083305
943343.23189602,2022-08-19,-0.009810629908331925
924226.363032403,2022-08-22,-0.020265019366486614
920126.0567156916,2022-08-23,-0.004436474094136722
922754.5634416743,2022-08-24,0.002856681111026216
928085.5431327258,2022-08-25,0.0057772455453029
898985.322144868,2022-08-26,-0.03135510643731265
890861.2175639621,2022-08-29,-0.009036971328433618
883583.6829473011,2022-08-30,-0.008169100274183272
877384.5643150951,2022-08-31,-0.007015881745946362
876983.9577277957,2022-09-01,-0.00045659178835921743
870130.7332310344,2022-09-02,-0.007814538038435237
863075.3990166255,2022-09-06,-0.008108361128919661
871443.756077077,2022-09-07,0.009695974500010474
881181.6090002948,2022-09-08,0.01117439060789649
895056.9231577273,2022-09-09,0.015746259358697
904335.0586844035,2022-09-12,0.010365972584115868
870508.4494925968,2022-09-13,-0.03740495170121638
870031.5323357155,2022-09-14,-0.0005478604569080225
873477.9241532738,2022-09-15,0.003961226334298518
865258.5894543908,2022-09-16,-0.009409894024340226
871711.8385912259,2022-09-19,0.00745817402506721
858584.9641406568,2022-09-20,-0.015058731417234794
845985.4255046571,2022-09-21,-0.014674772051954443
835663.4734577745,2022-09-22,-0.012201099139178662
815618.1336925309,2022-09-23,-0.02398733509590978
803137.9146599344,2022-09-26,-0.015301546786478548
795821.0205801995,2022-09-27,-0.00911038309383383
811528.1717480959,2022-09-28,0.019737039813857882
799788.2485946172,2022-09-29,-0.014466439443734824
787614.3567422766,2022-09-30,-0.015221393754825119
808175.9454367575,2022-10-03,0.026106162893636986
