account_value,date,daily_return
958990.2986159143,2022-04-04,
951285.2890939111,2022-04-05,-0.008034502051922354
951495.6950178003,2022-04-06,0.0002211806766081459
953979.8996593675,2022-04-07,0.002610841703829969
951546.9999871491,2022-04-08,-0.002550263032886857
941764.1364403047,2022-04-11,-0.010281009290110332
941434.8187615519,2022-04-12,-0.0003496816941847003
953744.3138483744,2022-04-13,0.013075249440015035
950614.074490491,2022-04-14,-0.0032820529699966183
943180.541150033,2022-04-18,-0.007819717317400499
958573.5679321605,2022-04-19,0.016320339649245286
961417.0532157184,2022-04-20,0.0029663714697369947
953921.3390909281,2022-04-21,-0.007796527115593421
931336.8871440707,2022-04-22,-0.02367538183848572
938868.6986585131,2022-04-25,0.00808709675135777
918243.057927663,2022-04-26,-0.021968610478036776
911157.7027862292,2022-04-27,-0.007716208775293554
924706.9900212985,2022-04-28,0.014870408485421205
903503.8781116802,2022-04-29,-0.022929546481669782
901894.4966566555,2022-05-02,-0.0017812667925546366
905033.5575043574,2022-05-03,0.0034805189069659903
926541.0358485042,2022-05-04,0.02376428825849719
903390.9875082942,2022-05-05,-0.024985453902761856
904048.6407397434,2022-05-06,0.0007279829448632036
887214.4067787868,2022-05-09,-0.018620938301706746
890102.9214660503,2022-05-10,0.00325571210881348
882844.153861848,2022-05-11,-0.008154975597930436
881219.0865696194,2022-05-12,-0.0018407181891845203
890820.6530444882,2022-05-13,0.010895776795127654
893346.6573675473,2022-05-16,0.002835592455592728
904673.1475491879,2022-05-17,0.012678717817131258
903798.4900831538,2022-05-18,-0.0009668215182505602
902904.7401217051,2022-05-19,-0.0009888818926512277
902816.969307313,2022-05-20,-9.720938487967068e-05
906578.1014601107,2022-05-23,0.004165996298987951
907606.2825004093,2022-05-24,0.0011341339909298753
910165.4718719912,2022-05-25,0.002819713151975378
917070.8804084866,2022-05-26,0.007586981433488793
925529.8129654628,2022-05-27,0.009223859068786977
920598.7877719814,2022-05-31,-0.00532778644664289
916529.772750352,2022-06-01,-0.004419965652439295
923358.2560497103,2022-06-02,0.007450367137411318
919618.2396237311,2022-06-03,-0.004050449975916859
919876.4910742813,2022-06-06,0.00028082462854994716
925124.1488374304,2022-06-07,0.00570474168441959
919661.0913407644,2022-06-08,-0.00590521553624046
904231.0639844335,2022-06-09,-0.016777949509460766
884626.655161939,2022-06-10,-0.021680751307203594
855935.7957759679,2022-06-13,-0.03243273217979059
856585.0705570615,2022-06-14,0.0007585554714475418
867248.6236284307,2022-06-15,0.012448913059428302
847912.3247749151,2022-06-16,-0.0222961424517637
847911.287406507,2022-06-17,-1.2234382941178623e-06
860170.3903835501,2022-06-21,0.01445800186778956
856316.8119871916,2022-06-22,-0.004480017493557531
856892.2481301359,2022-06-23,0.0006719897763176608
879655.6493523383,2022-06-24,0.02656506844574147
878484.525969522,2022-06-27,-0.0013313429904969754
866433.3586526465,2022-06-28,-0.013718132716766251
865462.8423404403,2022-06-29,-0.001120128054297731
859466.9344101882,2022-06-30,-0.006927978460678386
868596.4587859969,2022-07-01,0.010622310190529616
861009.336873056,2022-07-05,-0.008734921534846118
