account_rewards,date
621.445740749361,2022-01-03
-3071.477359131095,2022-01-04
-2060.608170799096,2022-01-05
584.5868171004113,2022-01-06
-839.1756397136487,2022-01-07
2561.646876670653,2022-01-10
2991.0529572831,2022-01-11
-5928.578527847072,2022-01-12
-5403.744448783924,2022-01-13
-13540.222703727777,2022-01-14
-6957.784236381529,2022-01-18
-9459.510490955436,2022-01-19
-9843.824020847329,2022-01-20
6174.838879692135,2022-01-21
-2329.8499969749246,2022-01-24
-1656.7603818130447,2022-01-25
-478.21454819489736,2022-01-26
12844.738574748975,2022-01-27
-954.8656776695279,2022-01-28
1360.3269511336694,2022-01-31
2100.0909106179606,2022-02-01
-7866.271991748712,2022-02-02
908.1179658012697,2022-02-03
-656.3746292074211,2022-02-04
2007.2580263939453,2022-02-07
3913.859635952045,2022-02-08
-7675.31585573568,2022-02-09
-7354.527023578528,2022-02-10
-3318.237183262012,2022-02-11
8315.551499832422,2022-02-14
-1392.9909216308733,2022-02-15
-15554.492486209841,2022-02-16
-6925.776539649931,2022-02-17
-12807.061685958877,2022-02-18
-10818.48072705837,2022-02-22
2485.277428462985,2022-02-23
20091.406350421952,2022-02-24
-2006.0060425109696,2022-02-25
-16578.05496923835,2022-02-28
15478.06393032847,2022-03-01
-4091.4761529617244,2022-03-02
-3682.628493324155,2022-03-03
-13614.215726177208,2022-03-04
-5581.465713649755,2022-03-07
14504.748839466134,2022-03-08
-6850.572134773247,2022-03-09
-6062.487159286393,2022-03-10
-3291.901009975467,2022-03-11
16601.269980247598,2022-03-14
11094.161652961746,2022-03-15
9878.740860290476,2022-03-16
5276.700925888028,2022-03-17
-1835.0058670310536,2022-03-18
7153.604149894672,2022-03-21
-8851.011407901766,2022-03-22
11260.56555653771,2022-03-23
5743.183905525249,2022-03-24
2584.7830481033307,2022-03-25
9342.135896511143,2022-03-28
-901.8888461799361,2022-03-29
-13582.466939109843,2022-03-30
3257.2159076271346,2022-03-31
