account_rewards,date
-6244.405804489157,2022-10-04
-9390.507318870514,2022-10-05
-15078.136687292135,2022-10-06
-3938.545224044821,2022-10-07
-5864.205118514947,2022-10-10
1005.5973214263795,2022-10-11
26261.524891216308,2022-10-12
-13519.592506797751,2022-10-13
15187.409797111526,2022-10-14
13433.621326299617,2022-10-17
-862.9338268967113,2022-10-18
640.5557909774361,2022-10-19
27328.919321830734,2022-10-20
8545.524660282186,2022-10-21
11616.56491599849,2022-10-24
3502.9281993751647,2022-10-25
3828.1111703510396,2022-10-26
18071.966423194855,2022-10-27
-904.6983522129012,2022-10-28
3384.491302474984,2022-10-31
-13159.22271249385,2022-11-01
-4966.031901939306,2022-11-02
17276.118551078718,2022-11-03
10830.881705562584,2022-11-04
7703.697375251795,2022-11-07
-16462.775421131053,2022-11-08
35500.918166057556,2022-11-09
11748.798421623302,2022-11-10
-3472.2813067703974,2022-11-11
1500.2018906726735,2022-11-14
-5103.523152076639,2022-11-15
178.22068862919696,2022-11-16
1112.7876216087025,2022-11-17
-2821.816790328943,2022-11-18
10827.945853986661,2022-11-21
80.39772962569259,2022-11-22
481.7519874648424,2022-11-23
-13616.10487837228,2022-11-25
506.41941928490996,2022-11-28
21782.554445045418,2022-11-29
-9079.9689340248,2022-11-30
-2732.3493101653876,2022-12-01
-16729.77111617278,2022-12-02
-14032.6098822403,2022-12-05
-149.91707263560966,2022-12-06
3174.1607614669483,2022-12-07
-12359.454378551454,2022-12-08
12081.797400302836,2022-12-09
5750.773980171303,2022-12-12
-6551.955259674112,2022-12-13
-18792.937628282583,2022-12-14
-7624.129468273139,2022-12-15
-3478.6866236953065,2022-12-16
1525.9857701568399,2022-12-19
12461.414735046448,2022-12-20
-10244.8625122566,2022-12-21
6439.014166480978,2022-12-22
2071.465066288016,2022-12-23
-10293.970188674866,2022-12-27
10991.011417724541,2022-12-28
-2186.114089572802,2022-12-29
-719.7740433693398,2022-12-30
