date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-08-31,0,0,0,70,0,-22,100,0,100,-100,1,-26,100,-100,100,-100,-1,-22,-35,-72,-100,0,100,1,59,-11,-36,0,0
2022-09-01,0,0,100,0,0,0,0,0,0,0,-100,92,-100,2,100,-33,0,0,0,-25,-23,0,-70,100,0,0,-61,0,0
2022-09-02,0,0,0,0,0,-27,0,0,0,0,-12,-20,0,-14,0,0,0,29,0,0,0,0,0,0,0,0,0,2,100
2022-09-06,0,0,-53,0,100,-37,0,0,-29,0,0,-100,15,-38,0,0,0,0,0,-100,-62,0,-55,-50,100,0,0,2,100
2022-09-07,0,0,-100,72,-64,0,74,-39,-71,0,54,86,-15,62,100,0,58,-100,0,94,0,0,-100,100,-29,0,0,-4,100
2022-09-08,0,0,-11,-18,92,-28,70,33,0,-92,-54,3,100,100,-25,62,8,-48,0,-100,-100,100,100,100,-62,55,100,100,-100
2022-09-09,0,0,0,-71,-30,-36,0,-28,0,-11,0,38,-18,100,0,100,-19,0,0,-85,72,-49,-48,-3,100,-3,4,0,-71
2022-09-12,0,0,0,0,-100,-100,-19,0,100,100,0,-17,-22,0,-100,26,-47,0,100,-89,-100,0,100,-61,100,-52,2,-100,-100
2022-09-13,0,0,-40,-12,-87,-93,0,-11,-22,100,0,-13,-60,-45,0,0,0,100,-42,0,-87,-51,0,-16,69,0,-100,15,-29
2022-09-14,0,0,0,0,0,0,-33,-18,0,0,55,0,0,4,0,0,0,100,-58,-4,0,0,-52,-50,-38,0,0,-15,100
2022-09-15,0,100,0,-41,100,0,100,0,-9,-13,38,-43,0,100,-100,-87,0,-6,0,-3,100,0,-55,100,-100,0,100,0,96
2022-09-16,26,6,95,47,100,-10,-61,35,100,85,-72,-9,88,-67,-75,-20,0,-84,0,-38,-80,6,-38,43,-57,0,-18,0,-100
2022-09-19,-26,15,-95,-19,0,0,0,100,-67,100,100,0,0,-100,0,-61,83,97,99,-1,-20,-6,0,0,-100,0,0,0,0
2022-09-20,0,-100,61,30,-100,-26,-100,18,-100,-9,-26,-66,100,9,92,1,100,100,-99,100,0,0,88,100,-89,23,-55,0,-96
2022-09-21,0,-21,100,36,-72,-100,100,-100,69,-36,-64,100,35,-100,-66,23,98,-23,0,-100,0,73,100,-100,53,-23,-33,0,0
2022-09-22,100,78,-85,-87,38,-56,-13,-100,0,-19,-31,60,0,58,100,-21,48,-55,0,57,0,-47,-46,86,71,0,0,0,100
2022-09-23,-20,7,56,-7,-100,-100,-13,-100,11,-3,16,8,-2,100,-47,-23,56,-6,3,38,100,-26,19,-51,-46,0,97,59,-80
2022-09-26,-14,48,0,0,-55,0,48,100,100,-49,-16,18,-100,71,0,0,-98,100,-3,0,100,0,-55,86,-50,82,72,100,-20
2022-09-27,32,51,100,0,-90,-48,100,21,-15,-100,0,7,-24,100,85,45,100,76,0,-95,15,51,-13,-80,-28,-41,77,-52,0
2022-09-28,100,-73,-41,0,-64,-5,-100,29,-32,100,90,0,-97,-19,-38,6,32,-81,0,0,54,-51,-100,-100,28,52,100,0,0
2022-09-29,-83,-38,0,80,-100,20,-5,100,-40,-78,-90,-1,0,-74,100,0,67,-100,1,72,60,100,100,-5,0,100,87,100,0
2022-09-30,-47,100,0,-80,0,-20,-100,100,-65,100,0,-25,0,100,-17,94,-73,-100,78,86,-27,-84,-36,-43,-3,11,-100,3,0
