date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-10-04,0,-70,100,0,0,0,0,0,100,-18,0,83,0,100,-14,100,-5,-47,-40,35,-97,-16,-31,76,0,0,-9,0,0
2022-10-05,-37,0,-100,0,-100,0,0,0,-86,100,100,-54,0,0,100,-81,3,-43,-39,-12,0,0,-11,0,31,-31,-43,-100,0
2022-10-06,-31,-100,0,0,100,100,2,-13,65,22,-68,71,100,64,0,100,-5,0,0,-93,57,84,-95,90,-56,-100,-68,-25,0
2022-10-07,0,68,-46,59,28,66,100,-89,-100,-85,-32,-100,-100,-100,-43,-33,-66,-28,0,100,-33,1,0,80,85,100,2,-85,0
2022-10-10,0,64,-100,100,20,47,-85,45,100,-51,0,-100,100,-88,0,100,-100,0,0,-86,0,-55,-29,-79,-7,53,-76,0,100
2022-10-11,0,-12,-45,-100,100,100,0,0,1,0,0,-67,-95,-100,-1,-29,-100,72,0,100,0,0,-35,-86,0,100,-100,0,2
2022-10-12,0,-75,0,2,-99,60,88,100,-65,-1,41,51,100,-8,-40,-84,100,-34,97,10,-100,-30,100,-100,-78,100,73,0,71
2022-10-13,74,-3,100,-30,-100,36,-88,79,9,-100,-41,-22,58,38,-100,-56,100,-38,52,-36,-72,0,-67,-52,54,-39,-1,0,100
2022-10-14,-74,-45,-100,-8,100,18,100,100,100,8,0,100,95,34,35,-91,-63,18,74,-18,100,67,-33,28,26,-53,78,22,14
2022-10-17,30,0,34,76,100,-45,-100,-20,-100,75,100,-72,-100,55,-100,100,-100,100,-16,-20,-100,-16,0,-40,-80,-100,-100,72,89
2022-10-18,-30,100,91,-99,68,23,9,-71,-54,-51,-16,-15,6,-14,100,94,100,8,-100,59,-1,-51,70,-100,0,-17,-12,100,-100
2022-10-19,27,100,-100,86,78,100,100,-11,0,54,-74,-42,77,-100,-100,-38,-44,-32,-84,-52,-56,27,-70,-90,35,-100,100,-17,14
2022-10-20,-20,0,-25,100,-81,0,-100,-14,0,100,100,0,-7,-100,0,100,1,0,7,-23,0,100,0,0,-35,100,100,-100,-100
2022-10-21,91,-12,0,100,-62,-19,-16,88,0,0,-75,0,1,76,-46,0,-100,-14,100,-88,100,-8,0,43,0,-100,96,-77,-71
2022-10-24,67,-78,100,-100,-100,-93,-100,21,0,-8,27,100,-100,-3,63,0,93,-80,-50,8,41,73,0,3,6,17,34,25,-72
2022-10-25,-32,14,10,-17,-30,-49,-10,-100,56,13,100,-41,-19,-3,-63,100,1,0,94,100,-100,100,28,-10,-6,61,10,-25,56
2022-10-26,-26,0,-100,0,-100,100,-7,100,-15,-24,0,86,-100,-67,0,100,-100,80,-66,-100,0,-4,100,-36,13,0,-31,100,-100
2022-10-27,-17,-50,63,22,-27,-32,100,-52,79,-100,100,-31,-16,56,0,-49,12,-35,-100,100,33,-75,-100,0,100,-100,98,47,56
2022-10-28,-90,98,100,33,0,-100,100,84,-63,-49,-70,-17,0,75,0,100,17,32,-8,13,-6,-8,-28,0,-100,100,-100,-36,-28
2022-10-31,33,44,-9,-100,100,-11,4,-42,-57,-61,-100,-57,11,-90,24,44,3,22,0,35,74,100,0,0,49,71,21,-80,100
2022-11-01,100,-2,100,0,-55,0,-38,0,0,0,0,-40,-11,-41,0,-100,0,100,0,81,100,100,0,0,-62,-100,0,-31,0
2022-11-02,3,0,0,-57,-33,-53,-26,100,0,0,0,0,100,-100,-24,-100,0,-34,0,0,-36,99,0,0,40,0,100,0,-78
2022-11-03,-100,0,-100,0,100,0,1,100,0,100,0,0,100,-47,0,17,-100,-100,0,-100,-64,100,0,0,0,-75,-53,0,100
2022-11-04,69,-100,0,40,-100,-38,-19,45,0,4,100,0,76,39,1,0,46,-32,0,-49,57,-41,0,67,-40,0,64,3,-12
2022-11-07,-16,100,-4,100,-12,-22,0,0,0,0,33,0,0,-44,0,-93,0,-33,0,0,-24,0,0,-67,0,0,0,0,-94
2022-11-08,-27,24,0,-100,0,-87,91,0,83,-100,0,0,100,2,98,-84,-65,76,0,62,-55,-83,0,0,0,100,100,-3,100
2022-11-09,-62,6,-11,-65,0,70,-58,8,-26,-42,-100,0,43,-83,-56,100,9,6,95,-79,26,-65,0,40,0,53,-100,1,-100
2022-11-10,27,-42,74,-42,0,74,72,100,86,-15,-100,0,-38,100,-43,-20,-50,100,81,-58,-31,-100,100,-40,0,-88,5,-1,-47
2022-11-11,37,5,-43,100,92,-67,-68,69,-46,25,16,0,-68,-76,0,44,0,100,-100,-21,-63,-100,72,100,0,-100,31,36,0
2022-11-14,100,-60,-22,98,100,-21,-23,-65,-97,55,-41,34,-47,3,0,0,36,-76,77,100,-52,-20,72,-97,0,18,82,90,100
2022-11-15,100,0,-77,-66,42,0,100,76,67,-100,0,0,0,100,0,0,-36,0,48,-61,0,-100,1,100,0,28,55,-30,-53
2022-11-16,-17,-9,71,-8,0,-63,100,0,2,-52,13,-34,-87,100,70,100,0,-31,100,87,59,0,61,-38,0,-90,100,-14,-47
2022-11-17,100,100,-100,100,0,0,-2,7,0,0,0,0,-100,78,-70,-100,0,0,-100,0,0,-20,-100,-12,0,87,0,-32,0
2022-11-18,100,0,-26,-91,-66,0,-18,-43,74,-100,100,0,0,-100,0,39,100,0,-48,-88,-23,-22,76,-53,78,0,-34,2,0
2022-11-21,36,63,-26,-30,100,-94,-64,-85,-41,-23,-100,46,-79,-81,0,-100,-100,-75,-100,-42,23,65,7,54,-66,8,20,-52,0
2022-11-22,-100,17,0,-60,76,7,-34,-71,37,-80,-13,83,19,-24,69,-27,3,-62,100,-22,-59,-42,40,-54,36,51,79,0,0
2022-11-23,-88,-100,0,-43,-100,60,50,-13,-28,68,29,-50,-19,11,60,-45,11,-38,-9,100,12,2,-53,67,-48,-9,29,100,18
2022-11-25,-3,-27,0,34,-95,-46,-6,-8,-86,-100,100,2,0,-28,1,-13,75,0,34,100,-12,-78,-20,-60,100,45,-44,100,3
2022-11-28,-100,100,0,-34,-100,76,-45,100,100,22,-78,-81,100,-83,-18,-67,39,0,-100,40,39,0,-9,15,100,100,45,33,-21
2022-11-29,-100,100,0,0,0,100,0,100,-83,-3,76,0,0,0,-41,0,-100,0,1,0,100,0,-83,-17,100,-100,100,100,0
2022-11-30,38,-24,100,0,-49,100,83,-100,100,-93,-30,0,-15,0,-71,55,1,100,-79,-47,57,0,58,100,-55,62,-100,-18,0
2022-12-01,100,-3,100,0,0,-100,9,94,95,-100,-68,93,-85,0,0,-10,7,100,69,3,-100,46,-18,-13,-100,-20,-69,-100,0
2022-12-02,50,60,100,0,62,95,17,-68,-73,45,40,-4,76,0,10,100,2,-100,-21,-100,-84,-46,39,-92,-62,-12,100,-100,100
2022-12-05,-72,0,0,0,-62,100,-100,100,100,100,100,-89,-15,0,100,0,100,-64,0,75,0,8,-37,0,-31,91,2,96,-77
2022-12-06,-100,-40,-100,100,100,0,-20,100,-100,-36,0,0,-1,0,0,-24,36,-2,71,-100,-12,0,-100,0,100,-100,-100,1,0
