date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-12-07,-100,0,100,-80,31,-19,71,1,-100,-22,0,0,100,0,100,0,-77,0,-61,0,0,-8,74,0,-2,-10,-12,-100,-23
2022-12-08,0,-55,0,0,0,-16,100,100,-64,-30,100,0,-100,100,-65,100,-97,-34,100,100,0,0,-100,30,0,-29,0,1,0
2022-12-09,-8,0,100,-20,0,-88,-73,-49,0,0,98,0,0,-12,0,-100,0,0,2,-22,0,0,0,0,0,0,-47,-34,0
2022-12-12,0,100,-1,1,-100,0,-34,-100,0,54,0,0,0,-7,-100,0,0,0,1,0,0,0,100,0,0,0,0,-70,0
2022-12-13,100,-5,0,0,65,0,0,0,0,-69,0,0,0,1,-45,0,3,0,100,-21,0,0,0,-4,0,0,-77,-9,0
2022-12-14,100,54,-84,92,0,-26,100,-100,0,-1,-26,100,0,1,76,-26,100,0,-79,-100,59,0,20,63,-100,-18,-18,0,0
2022-12-15,0,65,0,100,0,-46,0,-34,0,0,100,100,-60,-46,0,-100,-100,0,0,-28,0,0,0,-89,-50,-47,56,0,100
2022-12-16,-100,-52,100,-100,-37,-65,100,-100,0,11,-78,-59,0,25,-21,-67,-3,0,100,29,-59,0,3,0,30,-90,42,97,100
2022-12-19,100,-56,-55,82,-59,66,42,59,0,100,99,39,0,-62,-47,-100,80,0,100,100,44,0,-100,46,-21,80,-85,-93,-35
2022-12-20,-100,84,-100,100,0,-100,65,100,100,-100,5,-52,0,0,11,100,-80,2,-40,-35,100,0,-61,91,-9,-79,43,-4,100
2022-12-21,-100,32,5,-100,0,40,56,-58,-65,-54,100,100,0,100,-19,-100,11,-2,9,-48,-22,10,63,-60,0,-22,0,0,-42
2022-12-22,100,-100,100,-100,0,0,82,-100,-35,100,100,100,54,-88,0,0,100,0,100,-46,-73,-10,-16,-77,0,0,-32,0,0
2022-12-23,0,0,-100,0,0,0,0,0,5,-62,-12,0,0,1,0,100,-100,0,0,0,0,0,0,0,45,0,100,0,100
2022-12-27,-64,0,0,0,0,85,86,0,-5,45,-100,-100,-2,-13,0,-44,-11,100,100,0,100,0,0,0,-45,0,-71,0,100
2022-12-28,100,0,0,0,0,100,100,1,0,69,0,-100,0,0,0,-45,0,0,-100,0,-9,0,-79,0,0,0,0,2,-82
2022-12-29,0,100,0,0,0,-42,0,-100,0,10,1,0,0,0,0,-12,0,-29,-6,0,-81,0,-10,100,0,0,-71,100,100
2022-12-30,-100,-58,-63,100,0,100,95,42,0,0,0,100,-52,0,0,0,2,-71,-13,0,-59,0,0,0,0,92,0,-100,-79
