date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-02-07,100,-63,64,93,19,-58,-55,100,0,100,-30,-100,0,0,0,-31,0,-35,100,100,-28,-48,-100,0,0,100,-27,-30,79
2022-02-08,15,76,27,36,-46,0,-75,-100,5,-63,0,8,0,16,36,-50,0,0,80,-63,2,-4,-72,-23,74,100,45,0,-79
2022-02-09,32,78,-99,70,45,0,100,-41,14,-21,6,7,65,73,73,60,0,38,45,100,-35,0,-8,-100,-66,100,17,0,0
2022-02-10,54,-100,0,-35,-45,0,26,61,-19,100,100,-1,19,-2,39,46,0,6,-96,100,89,100,0,-31,-8,35,-77,0,0
2022-02-11,80,6,0,-82,100,0,83,-100,0,43,-67,26,77,26,9,100,23,31,-2,-100,4,-71,0,100,0,-100,-100,100,100
2022-02-14,-19,98,4,6,-36,0,-77,-72,94,-38,100,-43,26,100,25,-72,-23,100,30,48,17,-29,30,-85,32,100,14,-2,100
2022-02-15,-5,-3,100,100,62,0,20,-31,33,100,-100,-89,-17,-67,98,43,0,100,-58,-51,79,0,68,100,63,-66,47,52,30
2022-02-16,89,100,87,72,-2,100,-88,68,-100,-100,-39,91,-100,100,23,-100,42,-27,-100,100,-60,100,-51,-100,7,-7,-49,-93,-20
2022-02-17,100,4,-85,61,50,-55,34,-100,-27,-41,57,84,41,-100,100,-34,83,92,-98,100,-100,-8,26,-15,100,-35,-24,-57,-43
2022-02-18,100,49,-14,-38,-100,-45,-100,-13,100,-4,86,100,11,-29,-100,15,-93,84,0,-84,-97,-31,-64,0,17,-100,-37,0,100
2022-02-22,-60,100,-92,-61,-61,0,41,14,55,-100,-100,100,34,70,40,-100,-32,-100,95,-56,0,14,-9,86,-68,77,87,51,100
2022-02-23,100,76,0,47,-13,100,-92,5,76,-23,100,-35,100,45,7,-5,73,-7,42,26,70,-59,0,56,62,-100,69,-51,100
2022-02-24,100,-100,0,-53,0,-100,-100,-19,-100,0,-72,100,-100,-100,-1,17,99,-76,11,14,100,-6,0,58,-100,-52,36,0,-1
2022-02-25,54,-50,58,38,0,71,100,13,-64,100,100,15,-50,100,-83,-25,-31,-10,100,50,-100,60,5,27,-82,-21,100,53,-41
2022-02-28,-95,-31,37,-1,100,88,-91,-13,41,31,24,2,-100,-29,0,16,-12,-86,-31,-3,-9,100,-5,-12,-26,26,83,100,-22
2022-03-01,-45,-65,-87,0,71,70,-36,75,-99,51,0,95,-6,100,100,75,0,-22,-13,97,100,-34,0,0,-5,-55,100,-36,3
2022-03-02,59,-26,-8,-100,39,100,72,-75,93,-30,-6,-100,56,-88,-92,-92,-8,59,-100,-100,10,81,0,71,74,-100,-100,-47,-6
2022-03-03,-66,-92,57,-100,27,0,-77,8,-36,-100,-59,100,100,-100,100,0,-91,-57,63,28,-100,-100,41,-50,-25,-55,44,39,-100
2022-03-04,25,15,57,-34,-52,2,0,-8,-34,-44,-100,-30,-71,-93,62,100,82,-65,-44,-22,-2,-100,31,-100,20,-13,86,-100,-51
2022-03-07,100,-67,100,-73,-100,-100,92,11,100,73,45,32,100,72,20,-100,100,-54,39,-40,-69,-17,-22,-29,-38,31,-62,-9,-100
2022-03-08,83,100,100,70,100,-13,31,7,100,-81,-53,-2,-3,-94,-18,0,-11,29,-100,-46,0,0,70,-64,-14,100,35,100,-63
2022-03-09,-100,100,-9,-53,-100,46,100,100,47,100,-22,-10,-100,88,100,0,-33,-35,4,-100,71,79,-9,9,-17,-100,35,-31,-50
2022-03-10,-35,55,2,91,85,-54,100,66,-54,-100,0,70,46,100,-39,4,100,0,-63,100,61,-26,-79,-39,0,-13,-57,-47,100
2022-03-11,-36,32,-100,-8,100,-100,100,100,49,0,0,-41,100,100,-13,-4,100,0,100,92,86,100,-32,100,100,1,-100,-22,73
2022-03-14,0,-100,0,0,-73,-62,-66,0,0,0,0,0,-37,1,-100,100,0,0,-100,0,89,0,0,0,100,0,-13,0,-17
2022-03-15,-32,-7,0,0,0,-48,0,-62,0,0,0,-50,-89,-54,100,0,-100,0,0,100,25,0,0,100,-35,100,-6,89,-74
2022-03-16,-75,32,100,-17,-100,0,-72,-100,-58,58,100,-21,100,-82,60,73,28,13,-3,-44,-100,99,76,-49,-98,-92,100,-48,-74
2022-03-17,-87,60,-100,100,100,17,90,-100,-54,-58,-75,63,33,63,-48,-4,-56,100,0,-98,-24,-59,100,-100,100,25,71,9,-44
2022-03-18,0,100,-23,0,0,0,-7,-8,0,0,0,-33,18,0,0,0,100,-100,0,-5,0,0,-9,0,0,100,0,100,2
2022-03-21,-18,-91,-100,100,-100,0,3,0,-100,0,0,100,-7,-12,100,-21,-41,-13,0,-18,42,0,-31,0,0,100,0,100,-2
2022-03-22,0,0,-9,0,-97,-17,-41,-14,100,0,-25,-4,-100,1,100,100,-22,100,36,0,100,-100,-100,0,0,-67,-100,-63,0
2022-03-23,-100,-2,27,100,0,0,-30,79,-9,0,1,-100,40,79,-100,-26,100,7,-36,100,-60,30,39,-64,-1,-100,-73,-48,21
2022-03-24,-92,100,100,100,100,100,36,-26,-13,0,35,-28,61,40,59,0,-100,-100,0,82,-72,100,32,10,-57,-18,-100,-18,-21
2022-03-25,83,100,9,-77,-87,67,100,-53,-56,100,-36,6,-73,85,100,-100,-85,15,0,100,-100,-59,52,-10,-98,100,10,-83,55
2022-03-28,-10,0,80,-100,-13,-29,-100,100,0,100,69,-14,-28,-34,-60,100,100,-22,0,95,0,-77,-100,0,-11,0,81,90,0
2022-03-29,14,-69,-62,23,5,4,-32,-27,89,23,-69,-100,100,39,64,-92,75,63,100,-100,20,100,-59,0,0,-100,100,-22,71
2022-03-30,100,64,-76,-100,0,-39,-100,-73,-5,-14,0,97,0,100,-47,-28,78,0,0,0,-84,100,0,0,100,-67,100,1,0
2022-03-31,-76,100,-91,0,-5,-16,-100,0,-29,-22,0,-76,100,-21,-100,100,100,-63,-100,0,100,0,100,0,27,0,-83,0,1
