date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-01-03,73,59,0,15,43,0,0,0,0,0,0,40,0,0,0,100,92,34,0,7,99,0,25,0,0,29,95,0,0
2022-01-04,100,83,100,80,58,8,0,0,0,0,0,-40,34,19,100,87,100,31,100,-7,-42,100,100,100,0,21,64,0,0
2022-01-05,-81,-100,50,100,100,100,62,0,38,38,0,0,40,97,51,-91,-28,-65,-20,32,89,-64,29,-7,66,-50,-100,100,0
2022-01-06,8,-18,-33,-53,100,100,99,33,-14,28,0,0,-9,100,31,-2,75,0,-80,100,-55,100,100,-93,15,0,98,-39,0
2022-01-07,-68,45,42,-100,59,58,-31,33,59,-21,56,0,-65,-14,-71,66,100,0,26,100,-91,6,-100,0,75,0,100,-61,0
2022-01-10,100,-1,-18,-42,-100,52,10,-66,32,4,0,68,89,33,-45,11,11,2,91,100,100,19,100,0,84,0,19,0,0
2022-01-11,44,55,-100,0,100,24,-85,42,-6,30,78,-68,-44,16,100,100,35,-2,65,-40,-30,83,-7,72,31,100,-100,0,0
2022-01-12,-100,100,-41,0,100,-10,100,52,-4,100,100,58,-45,100,-13,-100,64,0,8,-100,-70,100,18,-72,100,23,100,100,56
2022-01-13,92,-21,0,100,-89,100,90,-20,8,18,55,30,0,27,-44,24,100,100,-100,-58,0,77,-87,0,17,-100,-76,72,100
2022-01-14,58,-100,100,-96,-24,-100,-71,61,-82,-81,43,-6,0,74,-9,-22,29,-20,-51,100,0,-86,100,0,-27,100,57,-22,-100
2022-01-18,100,-91,55,41,-3,100,-100,-100,-14,-90,-36,-59,0,48,22,-100,-80,52,49,86,0,-88,-29,7,-100,24,-39,29,-56
2022-01-19,-100,-1,100,-45,22,-23,-31,100,-8,-26,30,100,77,-45,100,-73,-6,75,-88,58,0,100,-34,40,-100,70,-17,-100,0
2022-01-20,-8,8,-2,0,-24,100,-43,7,80,38,53,65,-40,100,37,0,-100,39,0,91,0,100,-6,100,32,100,90,100,0
2022-01-21,-30,-18,47,0,-100,0,0,-19,0,-36,-34,-65,100,75,57,100,-19,-14,0,-31,100,-18,39,-8,64,-61,-100,-1,0
2022-01-24,-100,0,-9,36,0,-29,0,100,0,0,-31,-100,0,100,0,-24,91,88,0,-23,0,100,100,1,-30,0,-72,-91,0
2022-01-25,-88,0,-31,100,0,100,0,0,-89,0,-100,-23,-95,-88,0,-5,0,-100,0,0,100,0,-82,-49,89,100,0,0,0
2022-01-26,0,0,-100,100,84,0,0,-58,0,0,-65,77,-42,0,-3,-71,-100,-29,0,77,-100,100,-9,100,38,0,0,0,0
2022-01-27,0,1,26,79,89,-79,0,90,0,-2,-100,-77,100,-72,-48,0,-94,-100,100,100,66,46,63,-100,16,-32,-100,-39,26
2022-01-28,0,-1,-186,-315,-415,-501,0,-255,0,0,-49,0,-100,-570,-265,0,-270,-91,-100,-592,-166,-675,-320,-91,-370,-324,-19,-48,-26
2022-01-31,100,0,68,20,0,100,100,0,0,86,100,0,3,100,43,0,92,0,0,100,52,25,88,0,0,84,0,0,100
2022-02-01,-37,35,-18,-20,2,-100,-42,0,100,48,-100,51,-3,-81,-20,0,53,0,100,100,100,70,19,0,65,100,1,6,-16
2022-02-02,-14,100,37,0,8,17,77,100,-35,100,53,47,25,-17,-23,100,17,35,14,83,-23,-89,100,0,-52,100,42,100,-36
2022-02-03,-49,-7,-69,100,-10,54,100,74,-37,-87,0,100,-25,37,45,33,-72,100,-44,100,100,-6,-24,56,-13,-22,96,-100,-48
2022-02-04,96,-48,-10,-18,27,-13,80,54,-28,-100,-23,-6,0,-39,-45,4,-90,-100,29,100,-100,52,-3,98,0,-96,89,24,0
