account_rewards,date
8250.711266586324,2022-07-06
-1241.0766335907392,2022-07-07
-4688.26242384722,2022-07-08
-338.8072524414165,2022-07-11
-7550.4151376609225,2022-07-12
-3468.017352397903,2022-07-13
16796.48990521615,2022-07-14
-5780.5854075355455,2022-07-15
19189.819815479335,2022-07-18
2257.406960025779,2022-07-19
4290.0362613106845,2022-07-20
-2675.8109781113453,2022-07-21
1411.9058549881447,2022-07-22
-2548.5554771117168,2022-07-25
10676.251224082895,2022-07-26
12083.162526828819,2022-07-27
10267.3591508026,2022-07-28
-893.3596984520555,2022-07-29
-1422.6304555360693,2022-08-01
3173.9041201551445,2022-08-02
-236.81104169099126,2022-08-03
1417.6998359870631,2022-08-04
1414.396021743887,2022-08-05
-1410.8354122735327,2022-08-08
13996.11921197502,2022-08-09
2870.318738849601,2022-08-10
12682.810029739398,2022-08-11
3668.720077140839,2022-08-12
3605.647376575507,2022-08-15
-5174.140604423475,2022-08-16
852.0292734183604,2022-08-17
-9346.48624212644,2022-08-18
-19116.868863616954,2022-08-19
-4100.306316711474,2022-08-22
2628.506725982763,2022-08-23
5330.979691051412,2022-08-24
-29100.220987857785,2022-08-25
-8124.1045809058705,2022-08-26
-7277.534616661025,2022-08-29
-6199.118632205995,2022-08-30
-400.6065872993786,2022-08-31
-6853.224496761337,2022-09-01
-7055.334214408882,2022-09-02
8368.357060451526,2022-09-06
9737.852923217812,2022-09-07
13875.314157432527,2022-09-08
9278.135526676197,2022-09-09
-33826.609191806754,2022-09-12
-476.9171568813035,2022-09-13
3446.391817558324,2022-09-14
-8219.334698883002,2022-09-15
6453.249136835104,2022-09-16
-13126.874450569157,2022-09-19
-12599.538635999663,2022-09-20
-10321.952046882594,2022-09-21
-20045.33976524358,2022-09-22
-12480.219032596564,2022-09-23
-7316.894079734804,2022-09-26
15707.151167896343,2022-09-27
-11739.923153478652,2022-09-28
-12173.891852340661,2022-09-29
20561.588694480946,2022-09-30
